;ModelName;BatchSize;Optimizer;LR;Epochs;EmbeddingSize;Time;Accuracy;Hits;Miss;Key;SeqLen;VocabSize;TrainableEmbedding;ConfMatrix;Type
1;GRU+LSTM_OWN;64;Adam;0.001;10;50;389.58383679389954;0.7431666666666666;-;-;text;50;10000;True;"[[5465  535]
 [2547 3453]]";NORMAL
2;GRU+LSTM_OWN;64;Adam;0.001;10;50;416.49698519706726;0.725;-;-;text_cleaned;50;10000;True;"[[3834 2166]
 [1134 4866]]";NORMAL
3;GRU+LSTM_OWN;64;Adam;0.001;10;50;514.6311964988708;0.5;-;-;text_cleaned_2;50;10000;True;"[[   0 6000]
 [   0 6000]]";NORMAL
4;GRU+LSTM_OWN;64;Adam;0.001;10;50;657.7012805938721;0.5;-;-;text;100;10000;True;"[[   0 6000]
 [   0 6000]]";NORMAL
5;GRU+LSTM_OWN;64;Adam;0.001;10;50;1246.870320558548;0.5;-;-;text_cleaned;100;10000;True;"[[6000    0]
 [6000    0]]";NORMAL
6;GRU+LSTM_OWN;64;Adam;0.001;10;50;769.644757270813;0.5;-;-;text_cleaned_2;100;10000;True;"[[6000    0]
 [6000    0]]";NORMAL
7;Transformer;64;Adam;5e-05;2;0;8299.741099357605;0.74;0;0;text_cleaned;100;10000;True;"[[4221 1779]
 [1341 4659]]";TL
8;Transformer;64;Adam;5e-05;5;0;16710.604885816574;0.73325;0;0;text_cleaned;100;10000;True;"[[4575 1425]
 [1776 4224]]";TL
9;Transformer;64;Adam;5e-05;2;0;6358.123754024506;0.8218333333333333;0;0;text;100;10000;True;"[[4994 1006]
 [1132 4868]]";TL
10;Transformer;64;Adam;5e-05;5;0;15388.836931705475;0.81875;0;0;text;100;10000;True;"[[5191  809]
 [1366 4634]]";TL
11;Transformer;64;Adam;5e-05;2;0;12779.165130376816;0.7423333333333333;0;0;text_cleaned;100;10000;True;"[[4398 1602]
 [1490 4510]]";TL
12;Transformer;64;Adam;5e-05;5;0;30525.127602100372;0.5;0;0;text_cleaned;100;10000;True;"[[6000    0]
 [6000    0]]";TL
13;Transformer;64;Adam;5e-05;2;0;13411.460901737213;0.8239166666666666;0;0;text;100;10000;True;"[[5346  654]
 [1459 4541]]";TL
14;Transformer;64;Adam;5e-05;5;0;31275.351392507553;0.82775;0;0;text;100;10000;True;"[[4958 1042]
 [1025 4975]]";TL
